Date,Store_ID,Store,Market,Country_ID,Brand,Channel,Home_Delivery_Channel,Digital_Channel,Sales,Sales_LY,Sales_Variance,Transactions,Transactions_LY,Transactions_Variance,Average_Check,Average_Check_LY,Average_Check_Variance,Budget,Budget_LY,Budget_Variance,Budget_Transactions,Budget_Transactions_LY,Budget_Transactions_Variance,Budget_Average_Check,Budget_Average_Check_LY,Budget_Average_Check_Variance
2025-10-13,135133,PEETS DALMA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,445.05,,,27,,,16.48,,,1057.72,,,80,,,13.22,,
2025-10-13,135135,PEETS DEIRA CITY CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,412.21,,,29,,,14.21,,,1057.72,,,80,,,13.22,,
2024-10-18,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,702.1,,,53,,,13.25,,,2114.87,,,160,,,13.22,,
2025-10-13,135130,PEETS NATION MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,40.45,,,4,,,10.11,,,1057.72,,,80,,,13.22,,
2025-07-04,135112,ISLE BEACH TOWER,UAE,4,Peets Coffee,Dine In,Non HD,Others,491.43,,,37,,,13.28,,,555.09,,,42,,,13.22,,
2024-09-27,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,464.17,,,39,,,11.9,,,2062.51,,,156,,,13.22,,
2025-02-19,135116,PEETS AL SEEF,UAE,4,Peets Coffee,Dine In,Non HD,Others,427.9,,,32,,,13.37,,,634.74,,,48,,,13.22,,
2024-10-30,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,1054.28,,,90,,,11.71,,,1824.15,,,138,,,13.22,,
2025-04-13,135112,ISLE BEACH TOWER,UAE,4,Peets Coffee,Dine In,Non HD,Others,827.77,,,62,,,13.35,,,515.41,,,39,,,13.22,,
2024-10-11,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,1065.18,,,81,,,13.15,,,2115.8,,,160,,,13.22,,
2025-02-11,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,1263.6,,,87,,,14.52,,,1242.3,,,94,,,13.22,,
2025-04-28,135123,REEM MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,327.43,,,36,,,9.1,,,806.24,,,61,,,13.22,,
2025-10-06,135135,PEETS DEIRA CITY CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,343.79,,,34,,,10.11,,,1057.72,,,80,,,13.22,,
2024-08-01,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,330.75,,,30,,,11.03,,,1657.76,,,125,,,13.26,,
2023-08-09,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1694.07,,,113,,,14.99,,,926.29,,,125,,,7.41,,
2025-06-01,135128,PEETS DEERFIELDS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,373.87,,,28,,,13.35,,,1807.77,,,125,,,14.46,,
2023-08-16,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2466.49,,,191,,,12.91,,,923.15,,,125,,,7.39,,
2025-04-11,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,1187.61,,,100,,,11.88,,,1802.23,,,125,,,14.42,,
2023-06-14,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1778.59,,,115,,,15.47,,,966.91,,,125,,,7.74,,
2023-09-06,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1962.09,,,171,,,11.47,,,935.65,,,125,,,7.49,,
2023-06-21,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2054.66,,,176,,,11.67,,,977.46,,,125,,,7.82,,
2024-02-16,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,954.25,,,66,,,14.46,,,1628.2,,,125,,,13.03,,
2024-06-12,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,649.93,,,65,,,10.0,,,1590.64,,,125,,,12.73,,
2023-08-16,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1569.19,,,95,,,16.52,,,923.15,,,125,,,7.39,,
2023-08-16,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2362.34,,,197,,,11.99,,,923.15,,,125,,,7.39,,
2024-08-28,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,423.18,,,49,,,8.64,,,1501.12,,,125,,,12.01,,
2024-06-19,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,527.76,,,41,,,12.87,,,1604.81,,,125,,,12.84,,
2025-04-12,135107,ARABIAN RANCHES 3,UAE,4,Peets Coffee,Dine In,Non HD,Others,691.55,,,38,,,18.2,,,1886.74,,,125,,,15.09,,
2024-09-19,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,678.73,,,69,,,9.84,,,1679.65,,,125,,,13.44,,
2024-02-23,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,1086.05,,,77,,,14.1,,,1640.05,,,125,,,13.12,,
2023-09-06,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2066.73,,,156,,,13.25,,,935.65,,,125,,,7.49,,
2023-10-09,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2020.81,,,149,,,13.56,,,913.05,,,125,,,7.3,,
2024-06-26,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,531.18,,,43,,,12.35,,,1537.09,,,125,,,12.3,,
2024-02-02,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,1326.36,,,86,,,15.42,,,1624.78,,,125,,,13.0,,
2024-08-29,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,539.57,,,48,,,11.24,,,1627.48,,,125,,,13.02,,
2024-05-27,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1381.19,,,106,,,13.03,,,1542.39,,,125,,,12.34,,
2024-09-05,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,664.55,,,57,,,11.66,,,1694.92,,,125,,,13.56,,
2024-02-09,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,968.54,,,62,,,15.62,,,1604.71,,,125,,,12.84,,
2024-06-05,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,713.92,,,65,,,10.98,,,1574.35,,,125,,,12.59,,
2025-05-11,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,672.97,,,45,,,14.95,,,1760.75,,,125,,,14.09,,
2023-02-22,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1829.08,,,125,,,14.63,,,968.02,,,125,,,7.74,,
2023-08-01,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1662.81,,,124,,,13.41,,,931.38,,,125,,,7.45,,
2023-10-09,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,3002.77,,,194,,,15.48,,,913.05,,,125,,,7.3,,
2024-09-26,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,479.13,,,39,,,12.29,,,1661.52,,,125,,,13.29,,
2023-06-14,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2043.75,,,188,,,10.87,,,966.91,,,125,,,7.74,,
2023-08-09,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2099.26,,,171,,,12.28,,,926.29,,,125,,,7.41,,
2023-08-09,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2492.65,,,148,,,16.84,,,926.29,,,125,,,7.41,,
2023-09-06,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1797.0,,,109,,,16.49,,,935.65,,,125,,,7.49,,
2024-03-29,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,592.59,,,42,,,14.11,,,1635.03,,,125,,,13.08,,
2023-08-01,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1433.95,,,98,,,14.63,,,931.38,,,125,,,7.45,,
2023-08-01,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2637.49,,,187,,,14.1,,,931.38,,,125,,,7.45,,
2024-09-12,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,701.61,,,66,,,10.63,,,1697.18,,,125,,,13.58,,
2023-04-18,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1610.43,,,153,,,10.53,,,945.62,,,127,,,7.45,,
2024-09-11,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,777.21,,,69,,,11.26,,,1583.96,,,127,,,12.47,,
2023-06-26,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1922.65,,,132,,,14.57,,,987.0,,,127,,,7.77,,
2023-06-26,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2722.64,,,225,,,12.1,,,987.0,,,127,,,7.77,,
2023-05-09,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,887.94,,,67,,,13.25,,,936.23,,,127,,,7.37,,
2023-01-26,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2244.38,,,161,,,13.94,,,992.97,,,127,,,7.82,,
2023-10-10,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2096.93,,,173,,,12.12,,,933.22,,,127,,,7.35,,
2024-09-25,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,660.05,,,71,,,9.3,,,1531.8,,,127,,,12.06,,
2023-10-18,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2442.75,,,209,,,11.69,,,961.13,,,127,,,7.57,,
2024-03-04,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,641.56,,,52,,,12.34,,,1642.17,,,127,,,12.93,,
2025-06-29,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,884.45,,,62,,,14.27,,,1807.16,,,127,,,14.23,,
2023-07-12,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1122.89,,,81,,,13.86,,,932.11,,,127,,,7.34,,
2023-07-12,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1808.03,,,142,,,12.73,,,932.11,,,127,,,7.34,,
2023-08-28,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1982.84,,,169,,,11.73,,,915.01,,,127,,,7.2,,
2023-05-09,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1862.11,,,167,,,11.15,,,936.23,,,127,,,7.37,,
2023-08-28,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1384.82,,,98,,,14.13,,,915.01,,,127,,,7.2,,
2025-02-08,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,1364.43,,,94,,,14.52,,,1898.94,,,127,,,14.95,,
2024-07-04,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,566.25,,,42,,,13.48,,,1734.87,,,127,,,13.66,,
2023-10-18,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,3391.1,,,236,,,14.37,,,961.13,,,127,,,7.57,,
2024-04-19,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,505.9,,,45,,,11.24,,,1689.2,,,127,,,13.3,,
2025-02-28,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,794.8,,,68,,,11.69,,,1830.48,,,127,,,14.41,,
2025-05-02,135107,ARABIAN RANCHES 3,UAE,4,Peets Coffee,Dine In,Non HD,Others,730.8,,,39,,,18.74,,,1842.18,,,127,,,14.51,,
2023-07-31,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1313.75,,,104,,,12.63,,,930.51,,,127,,,7.33,,
2023-07-31,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1769.02,,,148,,,11.95,,,930.51,,,127,,,7.33,,
2023-08-28,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2008.36,,,161,,,12.47,,,915.01,,,127,,,7.2,,
2024-08-20,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1128.47,,,98,,,11.52,,,1572.35,,,127,,,12.38,,
2023-11-05,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,3415.52,,,223,,,15.32,,,1047.05,,,127,,,8.24,,
2024-01-07,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,1162.83,,,68,,,17.1,,,1565.01,,,127,,,12.32,,
2023-03-31,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1015.67,,,69,,,14.72,,,1105.96,,,127,,,8.71,,
2023-04-18,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1145.96,,,81,,,14.15,,,945.62,,,127,,,7.45,,
2023-10-10,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2712.7,,,178,,,15.24,,,933.22,,,127,,,7.35,,
2024-04-15,135110,JUMEIRAH BEACH RESIDENCE,UAE,4,Peets Coffee,Dine In,Non HD,Others,532.66,,,36,,,14.8,,,1512.6,,,127,,,11.91,,
2024-09-18,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,866.19,,,84,,,10.31,,,1567.15,,,127,,,12.34,,
2024-08-13,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1128.36,,,99,,,11.4,,,1585.99,,,127,,,12.49,,
2024-07-31,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,461.81,,,38,,,12.15,,,1636.96,,,127,,,12.89,,
2024-06-03,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1002.21,,,86,,,11.65,,,1615.53,,,127,,,12.72,,
2025-03-31,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,603.8,,,50,,,12.08,,,1920.86,,,127,,,15.12,,
2023-11-05,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,3357.51,,,253,,,13.27,,,1047.05,,,127,,,8.24,,
2024-04-26,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,1117.16,,,91,,,12.28,,,1683.98,,,127,,,13.26,,
2024-08-06,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1330.95,,,120,,,11.09,,,1589.77,,,127,,,12.52,,
2025-06-21,135107,ARABIAN RANCHES 3,UAE,4,Peets Coffee,Dine In,Non HD,Others,285.0,,,14,,,20.36,,,1895.75,,,127,,,14.93,,
2025-09-13,135127,PEETS LOFTS BOULEVARD,UAE,4,Peets Coffee,Dine In,Non HD,Others,1200.88,,,65,,,18.48,,,1890.32,,,127,,,14.88,,
2025-09-06,135127,PEETS LOFTS BOULEVARD,UAE,4,Peets Coffee,Dine In,Non HD,Others,1496.34,,,73,,,20.5,,,1890.32,,,127,,,14.88,,
2024-06-27,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,600.7,,,53,,,11.33,,,1683.43,,,126,,,13.36,,
2023-09-20,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2228.43,,,170,,,13.11,,,943.09,,,126,,,7.48,,
2023-05-08,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1638.05,,,149,,,10.99,,,923.83,,,126,,,7.33,,
2025-04-19,135107,ARABIAN RANCHES 3,UAE,4,Peets Coffee,Dine In,Non HD,Others,996.08,,,53,,,18.79,,,1886.74,,,126,,,14.97,,
2024-03-28,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1340.77,,,103,,,13.02,,,1658.85,,,126,,,13.17,,
2024-05-21,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1571.95,,,129,,,12.19,,,1582.7,,,126,,,12.56,,
2025-10-04,135135,PEETS DEIRA CITY CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,624.41,,,58,,,10.77,,,1873.45,,,126,,,14.87,,
2024-10-01,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,618.6,,,50,,,12.37,,,1625.25,,,126,,,12.9,,
2023-09-20,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1702.09,,,104,,,16.37,,,943.09,,,126,,,7.48,,
2024-10-28,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,678.06,,,69,,,9.83,,,1744.58,,,126,,,13.85,,
2023-06-05,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1579.96,,,146,,,10.82,,,958.85,,,126,,,7.61,,
2024-05-07,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1640.46,,,142,,,11.55,,,1579.96,,,126,,,12.54,,
2023-06-05,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1176.06,,,81,,,14.52,,,958.85,,,126,,,7.61,,
2024-05-14,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1351.12,,,111,,,12.17,,,1589.32,,,126,,,12.61,,
2024-10-29,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,989.39,,,95,,,10.41,,,1710.55,,,126,,,13.58,,
2024-06-25,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,816.47,,,73,,,11.18,,,1583.83,,,126,,,12.57,,
2024-07-24,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,288.4,,,24,,,12.02,,,1406.31,,,126,,,11.16,,
2023-11-23,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,3396.9,,,245,,,13.86,,,987.96,,,126,,,7.84,,
2023-11-23,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2556.99,,,195,,,13.11,,,987.96,,,126,,,7.84,,
2025-05-30,135107,ARABIAN RANCHES 3,UAE,4,Peets Coffee,Dine In,Non HD,Others,237.79,,,22,,,10.81,,,1842.18,,,126,,,14.62,,
2023-08-13,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2288.99,,,148,,,15.47,,,980.63,,,126,,,7.78,,
2023-08-13,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,3218.39,,,248,,,12.98,,,980.63,,,126,,,7.78,,
2025-06-14,135107,ARABIAN RANCHES 3,UAE,4,Peets Coffee,Dine In,Non HD,Others,285.7,,,17,,,16.81,,,1895.75,,,126,,,15.05,,
2024-07-10,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,561.15,,,44,,,12.75,,,1605.89,,,126,,,12.75,,
2023-08-13,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2472.44,,,182,,,13.58,,,980.63,,,126,,,7.78,,
2024-04-28,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,1403.69,,,100,,,14.04,,,1561.97,,,126,,,12.4,,
2023-09-26,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2683.0,,,177,,,15.16,,,939.0,,,126,,,7.45,,
2024-01-04,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1906.32,,,143,,,13.33,,,1582.0,,,126,,,12.56,,
2025-06-01,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,1118.27,,,67,,,16.69,,,1807.16,,,126,,,14.34,,
2023-09-20,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1998.01,,,157,,,12.73,,,943.09,,,126,,,7.48,,
2024-06-11,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1002.16,,,86,,,11.65,,,1575.96,,,126,,,12.51,,
2023-07-20,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1655.16,,,122,,,13.57,,,948.9,,,126,,,7.53,,
2025-04-18,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,1057.22,,,83,,,12.74,,,1802.23,,,126,,,14.3,,
2023-07-20,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,2427.82,,,195,,,12.45,,,948.9,,,126,,,7.53,,
2023-05-08,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1100.33,,,80,,,13.75,,,923.83,,,126,,,7.33,,
2024-04-08,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1076.59,,,87,,,12.37,,,1611.21,,,126,,,12.79,,
2024-04-21,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,759.12,,,62,,,12.24,,,1582.1,,,126,,,12.56,,
2023-09-26,135101,FASHION AVENUE DUBAI MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1497.37,,,117,,,12.8,,,939.0,,,126,,,7.45,,
2023-09-26,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1928.75,,,173,,,11.15,,,939.0,,,126,,,7.45,,
2025-10-04,135133,PEETS DALMA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1210.38,,,68,,,17.8,,,1873.45,,,126,,,14.87,,
2024-11-08,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,937.6,,,75,,,12.5,,,1735.99,,,130,,,13.35,,
2024-01-19,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,1489.77,,,92,,,16.19,,,1700.37,,,130,,,13.08,,
2024-12-21,135122,MBZ MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,214.88,,,12,,,17.91,,,1509.6,,,130,,,11.61,,
2024-12-21,135123,REEM MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,679.07,,,60,,,11.32,,,1509.6,,,130,,,11.61,,
2025-02-22,135118,PEETS MEADOWS TOWN CENTRE,UAE,4,Peets Coffee,Dine In,Non HD,Others,1236.69,,,83,,,14.9,,,1933.75,,,130,,,14.88,,
2023-08-24,135102,DUBAI MALL LOWER GROUND FLOOR,UAE,4,Peets Coffee,Dine In,Non HD,Others,2553.87,,,167,,,15.29,,,975.78,,,130,,,7.51,,
